dwelling, area_sqkm, sa2_maincode_2016, state_name, sa2_name, population
7599,10.5398,213021342,Victoria,Altona Meadows,19105
11343,2.9054,206061136,Victoria,Prahran - Windsor,19702
4641,1.2671,206071141,Victoria,Collingwood,8489
2359,3.0501,210031440,Victoria,Hadfield,5589
4577,129.5488,210041240,Victoria,Sunbury,12731
10675,131.1359,210041241,Victoria,Sunbury - South,26607
5207,1.378,206071142,Victoria,Fitzroy,10408
3138,2.0096,208021180,Victoria,Hughesdale,7544
4838,9.4222,213051466,Victoria,Point Cook - South,14429
4217,3.5966,207031162,Victoria,Blackburn South,10746
4013,3.3279,207031167,Victoria,Surrey Hills (East) - Mont Albert,9973
6316,5.6083,208011170,Victoria,Brighton East,15802
4633,5.3198,208011171,Victoria,Cheltenham - Highett (West),10920
7471,5.6846,208011172,Victoria,Hampton,17670
12291,5.1425,206011105,Victoria,Brunswick,25404
5692,2.168,206011106,Victoria,Brunswick East,10985
3831,2.9887,206011109,Victoria,Pascoe Vale South,9930
6520,2.444,206041118,Victoria,Docklands,10938
2947,2.8998,206041119,Victoria,East Melbourne,4936
40,1.7093,206041120,Victoria,Flemington Racecourse,85
3699,1.5027,206041125,Victoria,South Yarra - West,6120
5291,4.5882,208021427,Victoria,Bentleigh East (South),13214
9062,6.2242,208021174,Victoria,Bentleigh - McKinnon,22389
3014,5.3073,208031183,Victoria,Aspendale Gardens - Waterways,9004
4125,2.5148,208021181,Victoria,Murrumbeena,9274
9,9.0819,208031184,Victoria,Braeside,63
11491,3.0743,206041126,Victoria,Southbank,18676
2096,3.1958,208031187,Victoria,Chelsea Heights,5320
8313,3.8043,208021176,Victoria,Carnegie,18059
10865,6.9346,206011108,Victoria,Coburg,26121
6740,3.1795,206011107,Victoria,Brunswick West,13700
3925,2.8853,206021110,Victoria,Alphington - Fairfield,8910
5920,2.9371,208021182,Victoria,Ormond - Glen Huntly,13347
10992,6.145,206021111,Victoria,Northcote,24684
3,6.1992,206041127,Victoria,West Melbourne,3
8574,4.9972,206021112,Victoria,Thornbury,18488
8840,2.7894,206051130,Victoria,Port Melbourne,16121
6642,3.8361,206031113,Victoria,Ascot Vale,14714
12028,8.443,206031114,Victoria,Essendon - Aberfeldie,27481
4921,1.5808,206031115,Victoria,Flemington,10113
