sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
98.3,Altona Meadows,2,68.3,20407,17.2,10289,213021342,14.6,38,Victoria,10118
97.7,Prahran - Windsor,2,79.7,22027,8.5,11141,206061136,11.8,33.5,Victoria,10886
101.2,Collingwood,2,81.5,10372,11.1,5156,206071141,7.4,32.2,Victoria,5216
94.8,Hadfield,2,61.8,6036,18.7,3099,210031440,19.5,38.3,Victoria,2937
98.9,Sunbury,2,67.4,13397,20.1,6734,210041240,12.5,38.6,Victoria,6663
95.2,Sunbury - South,2,66.7,29374,19.4,15046,210041241,14,36.4,Victoria,14328
97.8,Fitzroy,2,78.7,11720,11.5,5926,206071142,9.9,33.4,Victoria,5794
93.4,Hughesdale,2,70,8283,17,4282,208021180,13,35.2,Victoria,4001
104.3,Point Cook - South,2,65.4,18375,30.9,8994,213051466,3.7,32.1,Victoria,9381
95.5,Blackburn South,2,61,11397,18.8,5829,207031162,20.3,40.8,Victoria,5568
93.3,Surrey Hills (East) - Mont Albert,2,66.6,10602,17.4,5486,207031167,16,39.2,Victoria,5116
94,Brighton East,2,60.5,16879,20.5,8701,208011170,18.9,43.2,Victoria,8178
89.9,Cheltenham - Highett (West),2,64.6,12140,21,6394,208011171,14.4,39,Victoria,5746
95.9,Hampton,2,64.5,19098,19.7,9751,208011172,15.8,42,Victoria,9347
97.3,Brunswick,2,79.5,29170,10.5,14781,206011105,9.9,33,Victoria,14389
89.8,Brunswick East,2,80,13293,10.9,7005,206011106,9.1,32.8,Victoria,6288
98.7,Pascoe Vale South,2,67,10968,19.7,5521,206011109,13.3,38,Victoria,5447
105.8,Docklands,2,86.3,14951,7.7,7266,206041118,5.9,31,Victoria,7685
91.1,East Melbourne,2,76.2,5739,6.4,3003,206041119,17.5,38.1,Victoria,2736
85.7,Flemington Racecourse,2,86.8,91,13.2,49,206041120,0,36.5,Victoria,42
88,South Yarra - West,2,74.4,6919,7.5,3681,206041125,18.1,35.8,Victoria,3238
96.4,Bentleigh East (South),2,62.8,14189,20.4,7226,208021427,16.8,39.7,Victoria,6963
94.5,Bentleigh - McKinnon,2,66.2,24503,18.9,12597,208021174,14.9,39,Victoria,11906
98.6,Aspendale Gardens - Waterways,2,68.7,9489,18.9,4779,208031183,12.5,39.4,Victoria,4710
98.7,Murrumbeena,2,70.6,9988,17,5027,208021181,12.4,36,Victoria,4961
81.8,Braeside,2,53.3,60,46.7,33,208031184,0,15.8,Victoria,27
